Unnamed: 0,word,root word,root language,second language,ranked languages
443,front,,,,
444,hard,hard,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;Old Norse;German;Greek;American English
445,high,,,,
446,laughter,laughter,Old English,Germanic,Old English;Germanic;Old Norse;German
447,love,love,Old English,Germanic,Old English;Germanic;German
448,moments,,,,
449,played,play,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
450,remembered,remember,Old French,Latin,Old French;Latin;English
451,snow,snow,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Frisian;Middle Dutch;Dutch;Old Norse;Greek;Latin;Old Irish;Welsh;Slavonic;Russian;Sanskrit
452,speak,speak,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Greek
453,till,till,Old English,Old Norse,Old English;Old Norse;Germanic;Old Frisian;German
454,tom,,,,
455,waited,wait,Old French,German,Old French;German
456,waiting,wait,Old French,German,Old French;German
457,watched,watch,Old English,Germanic,Old English;Germanic
458,whether,whether,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;German;Sanskrit;Greek;Latin;Slavonic
459,wished,wish,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin
460,women,,,,
461,am,am,Old English,Old Norse,Old English;Old Norse;Slavonic;Greek;Latin;Sanskrit;German;Germanic
462,bit,bit,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Spanish
463,both,both,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
464,bring,bring,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Latin
465,chair,,,,
466,conroy,,,,
467,days,,,,
468,figure,figure,Old French,Latin,Old French;Latin;Greek
469,glasses,,,,
470,green,green,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German
471,hot,hot,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
472,mooney,,,,
473,most,most,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German
474,moustache,,,,
475,returned,return,Old French,,Old French
476,seeing,seeing,American English,English,American English;English
477,sight,,,,
478,stopped,,,,
479,tone,,,,
480,warm,warm,Old English,,Old English
481,bar,bar,Old French,Latin,Old French;Latin
482,beautiful,,,,
483,clerk,,,,
484,conversation,conversation,Old French,Latin,Old French;Latin
485,desk,desk,Latin,Greek,Latin;Greek;Italian
486,falling,,,,
487,filled,fill,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German
488,fitzpatrick,,,,
489,fogarty,fogarty,Old Irish,,Old Irish
490,half,half,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
491,kathleen,,,,
492,meet,,,,
493,order,,,,
494,paper,,,,
495,party,party,Old French,American English,Old French;American English;English
496,polly,,,,
497,pope,pope,Old English,Latin,Old English;Latin;Greek
498,priest,priest,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Frisian;Latin;Greek
499,sister,sister,Old English,Old Norse,Old English;Old Norse;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh;Greek;French
500,smiled,smile,German,Germanic,German;Germanic;Old English;Latin
501,suddenly,,,,
502,tenor,tenor,Old French,Latin,Old French;Latin;English
503,tram,tram,Germanic,,Germanic
504,twice,twice,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon
505,whose,whose,Old English,,Old English
506,age,age,Old French,Latin,Old French;Latin;Spanish;Italian
507,bartell,,,,
508,believe,believe,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German
509,books,,,,
510,cab,cab,French,Italian,French;Italian;Latin;Old Irish;Welsh;Old English;Old Norse
511,chap,,,,
512,death,death,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
513,dinner,dinner,Old French,English,Old French;English
514,expression,expression,French,Latin,French;Latin
515,gaze,,,,
516,grew,grew,Old English,,Old English
517,houses,house,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
518,lily,lily,Old English,Latin,Old English;Latin;Greek;German;French;Spanish;Italian;American English
519,listening,listen,Old English,Germanic,Old English;Germanic;Dutch;German;Sanskrit;Persian;Slavonic;Greek;Latin;Old Irish;Welsh
520,lit,lit,Old Norse,Germanic,Old Norse;Germanic;Old English;Old Frisian
521,lived,live,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German;Greek;Dutch
522,london,london,Latin,American English,Latin;American English;English
523,matter,matter,Old French,Latin,Old French;Latin;English;Greek
524,nor,nor,English,,English
525,nose,nose,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic;Latin
526,piece,piece,Old French,Latin,Old French;Latin;Welsh;Russian;English;Spanish
527,question,question,Old French,Latin,Old French;Latin
528,repeated,,,,
529,says,,,,
530,second,second,Old French,Latin,Old French;Latin
531,serious,serious,French,Latin,French;Latin;Old English;German
532,sing,,,,
533,smile,smile,German,Germanic,German;Germanic;Old English;Latin
534,surprised,,,,
535,ten,ten,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Old Dutch;German;Sanskrit;Greek;Latin;Spanish;French;Slavonic;Old Irish;Welsh
536,tonight,tonight,Old English,,Old English
537,walk,,,,
538,wish,wish,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin
539,almost,almost,Old English,,Old English
540,alone,alone,Old English,German,Old English;German;Dutch
541,amid,amid,Old English,Latin,Old English;Latin;Greek
542,become,become,Old English,Germanic,Old English;Germanic;Dutch;German
543,beginning,beginning,Old English,,Old English
544,damn,damn,Old French,Latin,Old French;Latin
545,deal,deal,Old English,,Old English
546,died,die,Old Norse,Germanic,Old Norse;Germanic;Old Frisian;Old Saxon;German;Old Irish;Slavonic;Russian;Old English;Dutch
547,field,field,Old English,,Old English
548,however,,,,
549,leaned,lean,Old English,Germanic,Old English;Germanic
550,lips,,,,
551,listened,listen,Old English,Germanic,Old English;Germanic;Dutch;German;Sanskrit;Persian;Slavonic;Greek;Latin;Old Irish;Welsh
552,memory,memory,Old French,Latin,Old French;Latin;Sanskrit;Greek;Welsh;Old Norse;Old English;Dutch
553,morkan,,,,
554,myself,myself,Old English,,Old English
555,next,next,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German
556,nodded,,,,
557,paid,,,,
558,pause,pause,French,Latin,French;Latin
559,playing,play,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin
560,rather,rather,Old English,Germanic,Old English;Germanic;Old Norse;German
561,reached,,,,
562,river,river,Old French,Latin,Old French;Latin;Spanish;Italian;Old English
563,sang,,,,
564,shoulders,,,,
565,since,since,Old English,,Old English
566,singing,sin,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Latin
567,speech,speech,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
568,stand,stand,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;German;Dutch
569,streets,,,,
570,suppose,suppose,Old French,Latin,Old French;Latin
571,wall,wall,Old English,,Old English
572,whisky,,,,
573,ca,,,,
574,contract,contract,Old French,Latin,Old French;Latin
575,copy,copy,Old French,Latin,Old French;Latin
576,counter,counter,Old French,,Old French
577,dillon,,,,
578,during,during,Old French,Latin,Old French;Latin;English
579,eight,eight,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German;Sanskrit;Greek;Latin;Old Irish;Slavonic;Italian;Spanish;Old French
580,eliza,,,,
581,else,else,Old English,Germanic,Old English;Germanic;German;Greek;Latin
582,entered,enter,Old French,Latin,Old French;Latin;Spanish;Italian;English
583,everything,,,,
584,game,game,English,,English
585,hope,hope,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch
586,itself,itself,Old English,,Old English
587,kind,kind,Old English,Germanic,Old English;Germanic;German
588,least,least,Old English,Germanic,Old English;Germanic
589,lyons,lyons,Latin,,Latin
590,manner,manner,Old French,Latin,Old French;Latin;Spanish;Italian;Dutch;German
591,neither,neither,Old English,,Old English
592,papers,,,,
593,paris,paris,Latin,Old Irish,Latin;Old Irish;Welsh;Greek
594,past,,,,
595,pushed,push,Old French,Latin,Old French;Latin
596,ready,ready,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse
597,remained,remain,Old French,Latin,Old French;Latin;Spanish;Italian
598,run,run,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;Old Saxon;German;Germanic;American English
599,segouin,,,,
600,shadow,,,,
601,sit,sit,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;American English
602,song,song,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Middle Dutch;Dutch;Old French
603,square,square,Old French,Latin,Old French;Latin;Old English
604,steps,,,,
605,story,story,Old French,Latin,Old French;Latin
606,thoughts,,,,
607,tired,,,,
608,tongue,,,,
609,true,,,,
610,understand,understand,Old English,Sanskrit,Old English;Sanskrit;Latin;Greek;Old Frisian;Germanic;German
611,villona,,,,
612,whenever,,,,
613,accent,accent,Old French,,Old French
614,added,,,,
615,afraid,afraid,Old French,English,Old French;English
616,allowed,,,,
617,among,among,Old English,Old Saxon,Old English;Old Saxon;Old Frisian
618,artistes,artiste,English,French,English;French
619,blood,,,,
620,bridge,bridge,Old English,,Old English
621,burke,burke,Old English,,Old English
622,catch,catch,Old French,Latin,Old French;Latin;Spanish;Italian;English;American English
623,chief,chief,Old French,Latin,Old French;Latin;Spanish;Italian
624,close,,,,
625,college,college,Old French,Latin,Old French;Latin
626,colour,colour,English,,English
627,confused,confused,Latin,Old French,Latin;Old French;English
628,constable,constable,Old French,Latin,Old French;Latin;Germanic;English
629,cotter,,,,
630,darkness,darkness,Old English,,Old English
631,decent,decent,French,Latin,French;Latin;Greek;Sanskrit
632,drawing-room,,,,
633,dressed,,,,
634,ear,ear,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Greek;Latin;Slavonic;Old Irish;American English;French;Spanish
635,fallen,,,,
636,fat,fat,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;Dutch;German;Greek;Sanskrit;Latin
637,getting,get,Old Norse,Germanic,Old Norse;Germanic;Greek;Latin;Welsh;Slavonic;Old English;Dutch
638,humour,humour,English,,English
639,idea,idea,Latin,Greek,Latin;Greek;French
640,job,,,,
641,known,,,,
642,lamp,lamp,Old French,Latin,Old French;Latin;Greek;Old Irish;Old English
643,led,,,,
644,leo,leo,Old English,Latin,Old English;Latin
645,listen,listen,Old English,Germanic,Old English;Germanic;Dutch;German;Sanskrit;Persian;Slavonic;Greek;Latin;Old Irish;Welsh
646,living,living,Old English,,Old English
647,opinion,opinion,Old French,Latin,Old French;Latin
648,outside,,,,
649,overcoat,,,,
650,pale,pale,Old French,Latin,Old French;Latin
651,place,place,French,,French
652,pocket,pocket,American English,English,American English;English
653,quay,quay,English,Old French,English;Old French;Welsh
654,raised,raise,American English,English,American English;English
655,seem,seem,Old Norse,Germanic,Old Norse;Germanic;Old English
656,son,son,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Greek;Slavonic;Russian;Polish;Old Irish
657,speaking,speak,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Greek
658,strange,strange,Old French,Latin,Old French;Latin;Italian;Spanish
659,sunday,sunday,Old English,Germanic,Old English;Germanic;Latin;Greek;Old Saxon;Old Frisian;Old Norse;Dutch;German
660,taking,,,,
661,tea,tea,English,Dutch,English;Dutch;French;Spanish;German;Russian;Persian;Greek;Arabic;Turkish
662,trying,,,,
663,wait,wait,Old French,German,Old French;German
664,weathers,,,,
665,week,week,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Greek
666,wondered,wonder,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
667,accident,accident,Old French,Latin,Old French;Latin
668,ago,ago,Old English,,Old English
669,arranged,arrange,Old French,,Old French
670,became,,,,
671,buy,buy,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse
672,cap,cap,Old English,Latin,Old English;Latin;Spanish;French
673,committee,committee,French,Latin,French;Latin
674,concerts,,,,
675,donnelly,,,,
676,fact,fact,Latin,Old French,Latin;Old French;Spanish;Italian
677,fear,fear,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
678,fingers,,,,
679,foot,foot,Old English,,Old English
680,frank,frank,Germanic,French,Germanic;French;Old English;Latin;German;Spanish;Italian
681,gazed,,,,
682,giving,,,,
683,healy,,,,
684,honour,honour,English,,English
685,johnny,johnny,English,,English
686,king,king,Old English,Germanic,Old English;Germanic;Dutch;Old Norse;Old Saxon;German;Slavonic;Russian
687,laid,,,,
688,lightly,lightly,Old English,Old Frisian,Old English;Old Frisian;German;Old Norse
689,longed,long,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse;Middle Dutch;Dutch;Latin;Sanskrit;Greek;American English
690,manager,,,,
691,married,,,,
692,nature,nature,Old French,Latin,Old French;Latin
693,o'clock,o'clock,English,,English
694,pass,,,,
695,porter,,,,
696,present,present,Old French,Latin,Old French;Latin
697,running,,,,
698,soft,soft,Old English,Germanic,Old English;Germanic;Old Saxon;German;Middle Dutch;Dutch
699,sorry,sorry,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German
700,sound,sound,Old French,Latin,Old French;Latin;Sanskrit;Old Irish;Old English;Old Norse
701,summer,summer,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;German;Old Frisian;Middle Dutch;Dutch;Sanskrit;Old Irish
702,supper,supper,Old French,Germanic,Old French;Germanic
703,thanks,thanks,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Old Norse;Dutch;German
704,themselves,themselves,Old English,,Old English
705,thick,thick,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian
706,throat,throat,Old English,Germanic,Old English;Germanic;German;Old Saxon;Middle Dutch;Dutch;Italian
707,touch,touch,Old French,,Old French
708,train,train,Old French,Latin,Old French;Latin
709,wild,,,,
710,write,write,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;German;Latin;Greek;Sanskrit;Slavonic
711,written,,,,
712,yourself,,,,
713,affair,affair,Old French,Latin,Old French;Latin;English
714,anyone,anyone,Old English,,Old English
715,bank,bank,French,Germanic,French;Germanic;German
716,besides,,,,
717,bought,,,,
718,bright,bright,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;German;Sanskrit;Welsh
719,candle,candle,Old English,Latin,Old English;Latin;Sanskrit;Greek;Welsh;Irish;German
720,carried,,,,
721,chapel,chapel,Old French,Latin,Old French;Latin
722,collar,,,,
723,cry,cry,Old French,Latin,Old French;Latin;Italian;English
724,drew,drew,Old English,,Old English
725,eat,eat,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse
726,ended,,,,
727,express,,,,
728,eye,eye,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Greek;Slavonic;Latin
729,fair,fair,Old English,,Old English
730,forget,forget,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
731,general,general,Latin,American English,Latin;American English;English
732,glad,glad,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Dutch;German
733,grown,,,,
734,halted,halt,Old English,,Old English
735,hardly,hardly,Old English,,Old English
736,help,help,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German;French
737,hill,hill,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Latin;Greek
738,horse,horse,Old English,,Old English
739,john,,,,
740,longer,,,,
741,lower,lower,Old English,German,Old English;German;Middle Dutch;Dutch
742,making,,,,
743,minute,minute,Old French,Latin,Old French;Latin;German;Dutch
744,moved,move,English,,English
745,neck,neck,English,,English
746,nobody,nobody,English,,English
747,notes,note,Old French,Latin,Old French;Latin
748,pantry,pantry,Old French,Latin,Old French;Latin;English
749,paused,pause,French,Latin,French;Latin
750,please,please,Old French,Latin,Old French;Latin;Spanish;Italian;English;German;Polish
