word,word count,root word,root language,second language,ranked languages
then,68,then,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German
free,67,free,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse
king,66,king,Old English,Germanic,Old English;Germanic;Dutch;Old Norse;Old Saxon;German;Slavonic;Russian
out,66,out,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Old Irish;Latin;Greek;Russian
put,66,put,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;Old Norse
world,66,world,Old English,,Old English
my,65,,,,
having,64,ha,Old English,Greek,Old English;Greek;Latin;Old French
great,63,great,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;French;Latin
public,63,,,,
community,62,community,Old French,Latin,Old French;Latin;Old English;American English
time,62,,,,
mankind,61,mankind,Old English,,Old English
others,61,other,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin
these,61,these,Old English,,Old English
far,60,far,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Old Norse;Dutch;German;Germanic
thus,60,thus,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch
too,58,too,Old English,German,Old English;German
absolute,57,absolute,Old French,Latin,Old French;Latin
because,57,because,French,,French
give,56,give,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse
been,55,,,,
end,54,end,Old English,Germanic,Old English;Germanic;Old Frisian;Old Dutch;Old Norse;German
god,54,god,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Slavonic;Sanskrit;Greek;Latin
labour,54,labour,English,,English
me,54,me,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Old Irish;Welsh;Slavonic
might,54,might,Old English,,Old English
land,53,land,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Old Irish;Welsh;French;Slavonic;American English
before,51,before,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German
judge,51,judge,Latin,,Latin
never,51,never,Old English,Italian,Old English;Italian;French;Spanish;Latin;American English
appeal,50,appeal,Old French,,Old French
think,50,think,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse
well,50,well,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic;Welsh;Latin
nothing,49,nothing,Old English,,Old English
very,49,very,Old French,Latin,Old French;Latin;Italian;Old English;Old Dutch;German;Welsh;Old Irish;Slavonic;Russian
also,48,also,Old English,German,Old English;German;Dutch
preservation,48,preservation,Old French,Latin,Old French;Latin
way,48,way,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;Old Norse;Old Frisian;German
away,47,away,Old English,American English,Old English;American English
still,47,still,Old English,Germanic,Old English;Germanic;Old Frisian;German;Middle Dutch;Dutch
till,47,till,Old English,Old Norse,Old English;Old Norse;Germanic;Old Frisian;German
given,46,given,Germanic,Old English,Germanic;Old English
how,46,how,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
person,46,person,Old French,Latin,Old French;Latin;Greek
rule,46,rule,Old French,Latin,Old French;Latin
between,45,between,Old English,,Old English
its,45,its,English,,English
set,45,set,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Dutch;German
subject,45,subject,Latin,,Latin
thing,45,thing,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse;French;Spanish;Latin
things,45,thing,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse;French;Spanish;Latin
makes,44,make,Old English,Germanic,Old English;Germanic
necessary,44,necessary,Old French,Latin,Old French;Latin
parents,44,parent,Old French,Latin,Old French;Latin
prince,44,,,,
always,43,always,Old English,,Old English
dominion,43,dominion,Old French,Latin,Old French;Latin
done,43,done,Old English,,Old English
natural,43,natural,English,,English
title,43,,,,
together,43,together,Old English,Germanic,Old English;Germanic;German
us,43,us,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Old Norse;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Old Irish;Welsh;Germanic
both,42,both,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
rest,42,rest,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Old Norse;American English
supreme,42,supreme,French,Latin,French;Latin
arbitrary,41,arbitrary,Old French,Latin,Old French;Latin
